,penalty,poly_degree,feature_selection_method,num_features,performance
0,"['l1', 1.0]",1,rfe,10,"-0.0262 (-0.0950, -0.0024)"
1,"['l1', 1.0]",1,rfe,20,"-0.0262 (-0.0950, -0.0024)"
2,"['l1', 1.0]",1,rfe,30,"-0.0262 (-0.0950, -0.0024)"
3,"['l1', 1.0]",1,rfe,40,"-0.0262 (-0.0950, -0.0024)"
4,"['l1', 1.0]",2,rfe,10,"-0.0183 (-0.0831, 0.0027)"
5,"['l1', 1.0]",2,rfe,20,"-0.0183 (-0.0831, 0.0027)"
6,"['l1', 1.0]",2,rfe,30,"-0.0183 (-0.0831, 0.0027)"
7,"['l1', 1.0]",2,rfe,40,"-0.0183 (-0.0831, 0.0027)"
8,"['l2', 1.0]",1,rfe,10,"0.0429 (-1.2283, 0.3596)"
9,"['l2', 1.0]",1,rfe,20,"0.0334 (-1.2670, 0.3462)"
10,"['l2', 1.0]",1,rfe,30,"0.0248 (-1.2371, 0.3578)"
11,"['l2', 1.0]",1,rfe,40,"-0.0070 (-1.3443, 0.3222)"
12,"['l2', 1.0]",2,rfe,10,"-0.0372 (-1.5581, 0.3343)"
13,"['l2', 1.0]",2,rfe,20,"0.2422 (-0.4184, 0.5856)"
14,"['l2', 1.0]",2,rfe,30,"0.3412 (-0.0695, 0.6343)"
15,"['l2', 1.0]",2,rfe,40,"0.3985 (0.0788, 0.6373)"
16,"['None', 'None']",1,rfe,10,"0.0858 (-1.0251, 0.3509)"
17,"['None', 'None']",1,rfe,20,"0.0597 (-1.1580, 0.3672)"
18,"['None', 'None']",1,rfe,30,"0.0397 (-1.1554, 0.3675)"
19,"['None', 'None']",1,rfe,40,"0.0013 (-1.2993, 0.3315)"
20,"['None', 'None']",2,rfe,10,"0.1623 (-0.1235, 0.4101)"
21,"['None', 'None']",2,rfe,20,"0.2949 (-0.0590, 0.5630)"
22,"['None', 'None']",2,rfe,30,"0.3666 (0.0485, 0.6101)"
23,"['None', 'None']",2,rfe,40,"0.3656 (0.0054, 0.6150)"
