Simulation Time,In: Susceptible-0-4yrs,In: Susceptible-5-19yrs,In: Susceptible-20-49yrs,In: Susceptible-50-64yrs,In: Susceptible-65-74yrs,In: Susceptible-75+yrs,In: Vaccinated-0-4yrs,In: Vaccinated-5-19yrs,In: Vaccinated-20-49yrs,In: Vaccinated-50-64yrs,In: Vaccinated-65-74yrs,In: Vaccinated-75+yrs,In: Exposed-0-4yrs-Current,In: Exposed-0-4yrs-Novel,In: Exposed-5-19yrs-Current,In: Exposed-5-19yrs-Novel,In: Exposed-20-49yrs-Current,In: Exposed-20-49yrs-Novel,In: Exposed-50-64yrs-Current,In: Exposed-50-64yrs-Novel,In: Exposed-65-74yrs-Current,In: Exposed-65-74yrs-Novel,In: Exposed-75+yrs-Current,In: Exposed-75+yrs-Novel,In: Infectious-0-4yrs-Current,In: Infectious-0-4yrs-Novel,In: Infectious-5-19yrs-Current,In: Infectious-5-19yrs-Novel,In: Infectious-20-49yrs-Current,In: Infectious-20-49yrs-Novel,In: Infectious-50-64yrs-Current,In: Infectious-50-64yrs-Novel,In: Infectious-65-74yrs-Current,In: Infectious-65-74yrs-Novel,In: Infectious-75+yrs-Current,In: Infectious-75+yrs-Novel,In: Hospitalized-0-4yrs-Current,In: Hospitalized-0-4yrs-Novel,In: Hospitalized-5-19yrs-Current,In: Hospitalized-5-19yrs-Novel,In: Hospitalized-20-49yrs-Current,In: Hospitalized-20-49yrs-Novel,In: Hospitalized-50-64yrs-Current,In: Hospitalized-50-64yrs-Novel,In: Hospitalized-65-74yrs-Current,In: Hospitalized-65-74yrs-Novel,In: Hospitalized-75+yrs-Current,In: Hospitalized-75+yrs-Novel,In: Recovered-0-4yrs-Current,In: Recovered-0-4yrs-Novel,In: Recovered-5-19yrs-Current,In: Recovered-5-19yrs-Novel,In: Recovered-20-49yrs-Current,In: Recovered-20-49yrs-Novel,In: Recovered-50-64yrs-Current,In: Recovered-50-64yrs-Novel,In: Recovered-65-74yrs-Current,In: Recovered-65-74yrs-Novel,In: Recovered-75+yrs-Current,In: Recovered-75+yrs-Novel,Total to: Death-0-4yrs-Current,Total to: Death-0-4yrs-Novel,Total to: Death-5-19yrs-Current,Total to: Death-5-19yrs-Novel,Total to: Death-20-49yrs-Current,Total to: Death-20-49yrs-Novel,Total to: Death-50-64yrs-Current,Total to: Death-50-64yrs-Novel,Total to: Death-65-74yrs-Current,Total to: Death-65-74yrs-Novel,Total to: Death-75+yrs-Current,Total to: Death-75+yrs-Novel,Population size,Population-0-4yrs,Population-5-19yrs,Population-20-49yrs,Population-50-64yrs,Population-65-74yrs,Population-75+yrs,Cumulative incidence,Cumulative incidence-0-4yrs,Cumulative incidence-5-19yrs,Cumulative incidence-20-49yrs,Cumulative incidence-50-64yrs,Cumulative incidence-65-74yrs,Cumulative incidence-75+yrs,Cumulative hospitalizations,Cumulative hospitalizations-0-4yrs,Cumulative hospitalizations-5-19yrs,Cumulative hospitalizations-20-49yrs,Cumulative hospitalizations-50-64yrs,Cumulative hospitalizations-65-74yrs,Cumulative hospitalizations-75+yrs,Cumulative death,Cumulative death-0-4yrs,Cumulative death-5-19yrs,Cumulative death-20-49yrs,Cumulative death-50-64yrs,Cumulative death-65-74yrs,Cumulative death-75+yrs,Cumulative vaccination,Cumulative vaccination-0-4yrs,Cumulative vaccination-5-19yrs,Cumulative vaccination-20-49yrs,Cumulative vaccination-50-64yrs,Cumulative vaccination-65-74yrs,Cumulative vaccination-75+yrs,Cumulative death rate,Cumulative death rate-0-4yrs,Cumulative death rate-5-19yrs,Cumulative death rate-20-49yrs,Cumulative death rate-50-64yrs,Cumulative death rate-65-74yrs,Cumulative death rate-75+yrs,Cumulative vaccination rate,Cumulative vaccination rate-0-4yrs,Cumulative vaccination rate-5-19yrs,Cumulative vaccination rate-20-49yrs,Cumulative vaccination rate-50-64yrs,Cumulative vaccination rate-65-74yrs,Cumulative vaccination rate-75+yrs,Cumulative incidence-0-4yrs (%),Cumulative incidence-5-19yrs (%),Cumulative incidence-20-49yrs (%),Cumulative incidence-50-64yrs (%),Cumulative incidence-65-74yrs (%),Cumulative incidence-75+yrs (%),Cumulative hospitalizations-0-4yrs (%),Cumulative hospitalizations-5-19yrs (%),Cumulative hospitalizations-20-49yrs (%),Cumulative hospitalizations-50-64yrs (%),Cumulative hospitalizations-65-74yrs (%),Cumulative hospitalizations-75+yrs (%),Cumulative death-0-4yrs (%),Cumulative death-5-19yrs (%),Cumulative death-20-49yrs (%),Cumulative death-50-64yrs (%),Cumulative death-65-74yrs (%),Cumulative death-75+yrs (%),Simulation Period,Incidence,Incidence-0-4yrs,Incidence-5-19yrs,Incidence-20-49yrs,Incidence-50-64yrs,Incidence-65-74yrs,Incidence-75+yrs,New hospitalizations,New hospitalizations-0-4yrs,New hospitalizations-5-19yrs,New hospitalizations-20-49yrs,New hospitalizations-50-64yrs,New hospitalizations-65-74yrs,New hospitalizations-75+yrs,New hosp-Current,New hosp-Novel,Incidence rate,Incidence rate-0-4yrs,Incidence rate-5-19yrs,Incidence rate-20-49yrs,Incidence rate-50-64yrs,Incidence rate-65-74yrs,Incidence rate-75+yrs,New hospitalization rate,Hospitalization rate-0-4yrs,Hospitalization rate-5-19yrs,Hospitalization rate-20-49yrs,Hospitalization rate-50-64yrs,Hospitalization rate-65-74yrs,Hospitalization rate-75+yrs,% of new hospitalizations due to Current,% of new hospitalizations due to Novel,Interventions,Observation Time,Obs: Population size,Obs: Cumulative hospitalizations,Obs: Cumulative death,Obs: Cumulative vaccination,Obs: Cumulative death rate,Obs: Cumulative vaccination rate,Observation Period,Obs: Incidence,Obs: New hospitalizations,Obs: New hosp-Current,Obs: New hosp-Novel,Obs: Incidence rate,Obs: New hospitalization rate,Obs: % of new hospitalizations due to Current,Obs: % of new hospitalizations due to Novel,Obs: Interventions
0.0,30226,94594,197353,95724,48033,34070,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500005,30226,94595,197353,95725,48035,34071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0],,,,,,,,,,,,,,,,,[0]
0.019230769230769232,30225,94592,197348,95723,48031,34070,0,0,0,0,0,0,0,0,1,0,5,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500007,30226,94595,197354,95726,48035,34071,8,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.125,0.125,0.375,0.0,,,,,,,,,,,,,1,8,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1.5999840001599982e-05,3.308409978164494e-05,2.114276653100058e-05,5.067062573155716e-06,1.0446591799425438e-05,6.245446028937233e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,[0],0.0,500007,0,0,0,,,1,8,0,0,0,,,,,[0]
0.038461538461538464,30223,94590,197340,95720,48031,34070,0,0,0,0,0,0,1,0,1,0,8,0,4,0,0,0,2,0,2,0,1,0,10,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500017,30226,94595,197360,95729,48035,34072,27,2,4,12,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.14814814814814814,0.4444444444444444,0.18518518518518517,0.14814814814814814,0.0,,,,,,,,,,,,,2,19,1,2,11,4,1,0,0,0,0,0,0,0,0,0,0,3.799946800744789e-05,3.308409978164494e-05,2.114276653100058e-05,5.5737405879789615e-05,4.1785930677141006e-05,2.0818153429790777e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,[1],0.019230769230769232,500017,0,0,0,0.0,0.0,2,19,0,0,0,3.799946800744789e-05,0.0,,,[1]
0.057692307692307696,30223,94585,197308,95710,48020,34069,0,0,0,0,0,0,1,0,2,0,27,0,9,0,8,0,1,0,0,0,4,0,6,0,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,19,0,8,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500020,30226,94595,197360,95732,48035,34072,57,2,8,25,13,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03508771929824561,0.14035087719298245,0.43859649122807015,0.22807017543859648,0.12280701754385964,0.03508771929824561,,,,,,,,,,,,,3,30,0,4,13,8,3,2,0,0,0,0,0,0,0,0,0,5.999796006935764e-05,0.0,4.228553306200116e-05,6.58694770976895e-05,8.356924234035663e-05,6.245446028937233e-05,5.8699225170227754e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,[0],0.038461538461538464,500020,0,0,0,0.0,0.0,3,30,0,0,0,5.999796006935764e-05,0.0,,,[0]
0.07692307692307693,30209,94560,197250,95682,48006,34064,0,0,0,0,0,0,10,0,15,0,42,0,25,0,12,0,5,0,2,0,9,0,27,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,41,0,15,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,500025,30226,94597,197360,95734,48036,34072,147,7,22,68,28,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.14965986394557823,0.46258503401360546,0.19047619047619047,0.1292517006802721,0.02040816326530612,,,,,,,,,,,,,4,90,5,14,43,15,12,1,0,0,0,0,0,0,0,0,0,0.0001799928002879885,0.0001654204989082247,0.00014799936571700407,0.0002178759627077422,0.0001566874190448335,0.0002498178411574893,2.9349612585113877e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,[0],0.057692307692307696,500025,0,0,0,0.0,0.0,4,90,0,0,0,0.0001799928002879885,0.0,,,[0]
0.09615384615384616,30196,94497,197124,95612,47973,34047,0,0,0,0,0,0,10,0,43,0,90,0,48,0,16,0,8,0,7,0,24,0,51,0,34,0,16,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,33,0,97,0,42,0,31,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,500030,30226,94597,197362,95737,48036,34072,369,20,57,149,78,48,17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05420054200542006,0.15447154471544716,0.4037940379403794,0.21138211382113822,0.13008130081300814,0.04607046070460705,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,5,222,13,35,81,50,29,14,1,0,0,0,1,0,0,1,0,0.0004439778011099445,0.00043009329716138425,0.00036999059166781186,0.0004104175111471423,0.0005222804855119393,0.0006037138812557248,0.00041089457619159425,1.99990000499975e-06,0.0,0.0,0.0,1.0445609710238786e-05,0.0,0.0,1.0,0.0,[0],0.07692307692307693,500030,1,0,0,0.0,0.0,5,222,1,1,0,0.0004439778011099445,1.99990000499975e-06,1.0,0.0,[0]
0.11538461538461539,30154,94397,196882,95498,47922,33996,0,0,0,0,0,0,24,0,74,0,161,0,86,0,40,0,38,0,18,0,38,0,116,0,43,0,14,0,20,0,0,0,0,0,0,0,2,0,0,0,0,0,31,0,89,0,208,0,108,0,60,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,500039,30227,94598,197367,95737,48036,34074,776,49,128,326,157,76,40,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06314432989690721,0.16494845360824742,0.42010309278350516,0.20231958762886598,0.0979381443298969,0.05154639175257732,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,6,407,29,71,177,79,28,23,1,0,0,0,1,0,0,1,0,0.0008139511629302241,0.0009594388936677033,0.0007505523430975612,0.0008968291768425533,0.0008251773086685398,0.000582896161212424,0.0006750410894576192,1.999880007199568e-06,0.0,0.0,0.0,1.0445282388209366e-05,0.0,0.0,1.0,0.0,[0],0.09615384615384616,500039,2,0,0,0.0,0.0,6,407,1,1,0,0.0008139511629302241,1.999880007199568e-06,1.0,0.0,[0]
0.13461538461538464,30078,94139,196453,95246,47787,33901,0,0,0,0,0,0,54,0,194,0,307,0,176,0,97,0,70,0,22,0,91,0,199,0,96,0,56,0,38,0,0,0,0,0,1,0,0,0,0,0,2,0,73,0,174,0,408,0,219,0,96,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,500040,30227,94598,197368,95737,48036,34074,1560,96,269,615,321,156,103,5,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06153846153846154,0.17243589743589743,0.3942307692307692,0.20576923076923076,0.1,0.06602564102564103,0.0,0.0,0.2,0.4,0.0,0.4,,,,,,,7,784,47,141,289,164,80,63,3,0,0,1,0,0,2,3,0,0.001567877705538968,0.0015549012472292983,0.001490517769931711,0.0014642772094625748,0.0017130263116663358,0.0016654176034640686,0.0018489170628631802,5.999532036501153e-06,0.0,0.0,5.066703146929324e-06,0.0,0.0,5.869577977343429e-05,1.0,0.0,[0],0.11538461538461539,500040,5,0,0,0.0,0.0,7,784,3,3,0,0.001567877705538968,5.999532036501153e-06,1.0,0.0,[0]
0.15384615384615385,29918,93614,195367,94695,47505,33735,0,0,0,0,0,0,129,0,357,0,727,0,387,0,179,0,133,0,47,0,240,0,452,0,233,0,131,0,70,0,0,0,0,0,1,0,1,0,0,0,2,0,133,0,387,0,825,0,422,0,221,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,500047,30227,94598,197372,95738,48036,34076,3349,186,638,1295,665,356,209,9,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05553896685577785,0.190504628247238,0.38668259181845327,0.19856673633920574,0.1063003881755748,0.062406688563750375,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,,,,,,,8,1789,90,369,680,344,200,106,4,0,0,2,1,0,1,4,0,0.003577713782897368,0.0029774704734178052,0.003900716717055329,0.003445340683393458,0.0035931771415440216,0.0041635440086601715,0.0031108763279920175,7.999360051195904e-06,0.0,0.0,1.013335495115723e-05,1.0445282388209366e-05,0.0,2.9347889886717146e-05,1.0,0.0,[0],0.13461538461538464,500047,9,0,0,0.0,0.0,8,1789,4,4,0,0.003577713782897368,7.999360051195904e-06,1.0,0.0,[0]
0.1730769230769231,29833,93323,194780,94408,47378,33643,0,0,0,0,0,0,82,0,266,0,518,0,239,0,112,0,82,0,75,0,226,0,483,0,242,0,117,0,89,0,0,0,4,0,3,0,4,0,3,0,2,0,238,0,779,0,1590,0,845,0,426,0,260,0,0,0,0,0,0,0,0,0,0,0,1,0,500050,30228,94598,197374,95738,48036,34076,5477,323,1033,2105,1104,556,356,29,0,5,7,8,4,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.999800019998e-06,0.0,0.0,0.0,0.0,0.0,2.9346167390538794e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058973890816140226,0.18860690158846083,0.38433448968413364,0.2015702026656929,0.10151542815409896,0.06499908709147344,0.0,0.1724137931034483,0.2413793103448276,0.27586206896551724,0.13793103448275862,0.1724137931034483,0.0,0.0,0.0,0.0,0.0,1.0,9,2128,137,395,810,439,200,147,20,0,5,4,5,4,2,20,0,0.004255599973602481,0.004532371720647104,0.004175563965411531,0.004103925582149444,0.0045854310723014895,0.0041635440086601715,0.004313886606409203,3.999624035340678e-05,0.0,5.285524006850039e-05,2.0266299171108363e-05,5.2225866427124025e-05,8.327088017320343e-05,5.869233478107759e-05,1.0,0.0,[1],0.15384615384615385,500050,29,1,0,1.999800019998e-06,0.0,9,2128,20,20,0,0.004255599973602481,3.999624035340678e-05,1.0,0.0,[1]
